label,document,Angry,Sadness,Fear,Hurt,embarrassed,Happiness,Thankful,Peaceful
2,이러다가 진짜 누구 아프기라도 할까 봐 걱정되고 긴장돼. 근데 나이 들어서 별수 있나.,0,0,1,0,0,0,0,0
2,내 동료들도 부장님을 좋아하진 않아. 혹시 친하게 지내는 분은 어떤지 물어봐야겠어.,0,0,1,0,0,0,0,0
5,기쁜 일을 축하하기 위해 오늘은 친구들과 함께 맛있는 거 먹으면서 놀 거야!,0,0,0,0,0,1,0,0
1,나는 대학에 가고 싶지 않지만 부모님 때문에 어쩔 수 없이 대학에 진학해야 해서 우울해.,0,1,0,0,0,0,0,0
1,너무 우울해. 왜 이렇게 취직하는 게 어려운 건지 모르겠어.,0,1,0,0,0,0,0,0
7,우리 부서는 다들 사이도 좋고 크게 싸울 일이 없는 것 같아서 너무 좋아.,0,0,0,0,0,0,0,1
4,응. 내가 못난 탓에 우리 애들이 고생하니 더욱 마음이 힘들어.,0,0,0,0,1,0,0,0
5,커서 딸이 효도를 더 잘한다고 생각해.,0,0,0,0,0,1,0,0
5,오늘 거래처에서 내가 제안한 내용보다 더 좋은 조건을 제시해줘서 너무 기뻤어.,0,0,0,0,0,1,0,0
1,이제 나이도 있는데 노후 준비는 못하고 빚만 갚아나가야 하는 현실이 슬프고 비통해.,0,1,0,0,0,0,0,0
4,내가 아주 불명예스럽게 퇴직을 했거든. 지금도 그 영향으로 괴로워하고 있어.,0,0,0,0,1,0,0,0
4,지금 부터 다양한 사교 모임에 참여해서 내 결혼 상대를 찾아보려고 해.,0,0,0,0,1,0,0,0
6,다른 건 몰라도 영어시험에서 한 문제도 틀리지 않았어.,0,0,0,0,0,0,1,0
5,걱정을 많이 했는데 정상 수치라서 기분이 너무 좋았어.,0,0,0,0,0,1,0,0
1,우선은 항암치료에 집중하려고 해. 혹시나 치유될 가능성도 있는 거니까.,0,1,0,0,0,0,0,0
3,배가 너무 나왔어. 친구들은 아직 날씬한데.,0,0,0,1,0,0,0,0
0,모르겠어. 선생님한테 말해볼까 봐.,1,0,0,0,0,0,0,0
