label,document,joy,embarrassed,anger,nervous,hurt,sad
3,이번 프로젝트에서 발표를 하는데 내가 실수하는 바람에 우리 팀이 감점을 받았어. 너무 미안해.,0,0,0,1,0,0
3,회사에서 중요한 프로젝트를 혼자 하게 됐는데 솔직히 두렵고 무서워.,0,0,0,1,0,0
3,상사가 너무 무섭게 생겨서 친해지는 게 너무 두려워.,0,0,0,1,0,0
3,이번에 힘들게 들어간 첫 직장이거든. 첫 직장이라서 그런지 너무 긴장된다.,0,0,0,1,0,0
3,직장에서 동료들이랑 관계가 안 좋아질까 봐 걱정돼.,0,0,0,1,0,0
3,내가 평소에 말이 좀 험한 편인데 무서운 팀장님 앞에서 말실수할까 봐 걱정이야.,0,0,0,1,0,0
3,내 직급이 낮아서 그런지 회의 시간에 내 의견을 무시하는 경향이 있어서 의견을 제시하는 것이 힘들어.,0,0,0,1,0,0
3,부장님께 보고서를 올렸는데 혹시 실수한 거 지적당할까 봐 걱정이야.,0,0,0,1,0,0
3,내일 회사 면접을 보러 가는데 내가 틱 증상이 있어서 불안해. 떨어질까 봐 걱정이야.,0,0,0,1,0,0
3,친구랑 같이 백수였는데 내가 이번에 취업을 하는 바람에 그 친구와 멀어질까 봐 걱정이야.,0,0,0,1,0,0
3,내가 새로운 직장에 잘 적응을 할 수 있을지 잘 모르겠어. 불안해.,0,0,0,1,0,0
3,평소에 날 안 좋게 보시는 팀장님이 있는데 내 아이디어에 대해서 하찮게 여기실까 봐 말을 못 꺼내겠어.,0,0,0,1,0,0
5,학교에서 애들이 나를 때리는데 엎드려진 상태로 아무것도 할 수 없어서 슬펐어.,0,0,0,0,0,1
5,내 친구가 나 대신 나섰다가 폭행을 당했다는 소식을 듣고 심장이 멎는 줄 알았어!,0,0,0,0,0,1
5,내가 많이 의지한 친구가 처벌을 받아서 전학을 갔어. 순간 하늘이 노랗게 보이더라.,0,0,0,0,0,1
5,친구가 나에 대해서 거짓으로 뭔가를 말해서 선생님한테 불려갔어.,0,0,0,0,0,1
5,내 친구가 다른 친구한테 맞았대. 그 얘기를 듣고 그 자리에 주저앉아 버렸었어.,0,0,0,0,0,1
5,학교에서 애들이 나 피하는데 내가 한 말 때문에 그런 거 같아.,0,0,0,0,0,1
5,학폭위를 통해 정학 조처가 내려졌는데 너무 큰 충격을 받았어.,0,0,0,0,0,1
5,친구들이 나만 빼고 놀이동산에 다녀왔다네. 그 얘기를 듣는 순간 할 말을 잃었어.,0,0,0,0,0,1
5,내 편이 되어주던 친구가 변심했는데 아무런 반응을 할 수가 없었어.,0,0,0,0,0,1
5,내가 따돌림을 당한다는 사실을 부모님이 알게 됐어. 엄마 아빠 얼굴을 어떻게 봐야 할지 눈앞이 깜깜해.,0,0,0,0,0,1
5,오늘 애들이 날 때렸어. 그런데 난 아무런 저항도 할 수 없었어.,0,0,0,0,0,1
5,작년에 날 따돌렸던 애랑 다시 마주쳤는데 온 몸이 굳는 느낌이었어. 그 때가 다시 생각나.,0,0,0,0,0,1
1,내가 다리를 다쳤는데 친구들이 날 그냥 두고 운동장으로 가서 외로웠어.,0,1,0,0,0,0
1,친구한테 말을 걸었는데 대꾸도 안 하고 다른 친구들이랑 나가더라.,0,1,0,0,0,0
1,친구들이 요즘 나를 따돌려. 내가 혼자라는 게 너무 슬퍼.,0,1,0,0,0,0
1,반 친구에게 좋아한다고 고백했는데 그 후로 다들 나를 이상한 애 취급해서 너무 당황스러워.,0,1,0,0,0,0
1,학교에서 따돌림 당하는데 엄마 아빠가 너무 신경을 안 써 주니까 너무 당황스럽다.,0,1,0,0,0,0
1,거짓말 한 친구가 내가 그랬다고 헛소문을 내고 다녀서 너무 당황스러워.,0,1,0,0,0,0
1,내가 솔직하게 말하면 이해할 줄 알았는데 친구들이 나를 따돌려서 외로워.,0,1,0,0,0,0
1,믿었던 친구에게 솔직한 내 생각을 전부 얘기했는데 그 친구도 날 떠나버렸어. 외로워.,0,1,0,0,0,0
1,친구들이랑 있을 때 한마디 했는데 다들 나를 이상한 사람 취급하면서 가 버렸어.,0,1,0,0,0,0
1,내가 제일 믿는 친구에게 비밀을 말했는데 학교 애들이 비밀에 대해서 다 알고 있어서 당황했어.,0,1,0,0,0,0
1,친구들에게 큰맘 먹고 속마음을 고백했는데 갑자기 그 이후로 친구들이 나를 따돌렸어.,0,1,0,0,0,0
1,선생님은 그래도 나를 이해해주실 줄 알았는데 정말 실망했어.,0,1,0,0,0,0
0,이번 주에 친한 친구의 생일이 있어서 서프라이즈 파티를 열어주고 싶어.,1,0,0,0,0,0
0,선생님께 편지를 썼는데 아직 드리진 못했어.,1,0,0,0,0,0
