labeling,sentence
5,내가 몸이 아파보니까 이렇게 힘든데 다른 사람들이 아팠을 땐 왜 신경을 써주지 못했을까 후회가 되네.
4,우리 가게 맞은편에 있는 음식점은 항상 사람들 줄이 끊이지 않아 너무 부러워.
3,의사 선생님께 건강 상태를 들었는데 아내에게 말을 해야 할 것 같아.
2,다리가 아프고 피곤한데 아내가 등산을 가자고 해서 짜증이 나.
3,골다공증 때문에 아내가 밖에 못 나가게 해서 스트레스야.
5,친구들과 정이 들었는데 이사하게 되어서 전학을 가야 해.
2,몸이 아프니까 만사가 귀찮고 짜증이 나. 오늘도 애꿎은 아내에게 짜증을 냈어.
2,내가 아픈데도 자식들은 이번 설날엔 바빠서 내려올 수 없다고 전화가 왔어.
3,난 사람들과 어울리는 게 너무 힘들어. 내 업무는 자신 있는데 사람들과 못 어울리는 것이 내 약점 같아.
2,친구가 대리출석 해 준다고 했는데 갑자기 친구도 지각이라네. 당황스럽다.
2,돈을 빌려 간 친구가 돈을 갚지 않고 있어서 매우 화가 나. 그래서 매일 그 친구 집에 찾아갔어.
4,나도 이제 나이가 드니까 동네에서 아무 도움도 안 돼서 정말 슬퍼.
2,얼마 전에 친구가 시험 범위를 물어봤는데 친구 점수가 잘 나오는 게 싫어서 일부러 다른 부분으로 알려줬어.
2,나이는 먹었고 몸도 아픈데 노후 준비는 안 돼서 걱정이야.
3,요즘은 무릎은 너무 시큰거려서 관절염에 걸린 게 아닐까 걱정돼.
1,돌보미 사람들 제외하고는 아무도 보러 오는 사람이 없어서 너무 외롭고 눈물이 나.
0,이번에 새로 들어온 직원은 내가 무언가를 부탁했을 때 항상 빠르고 정확하게 결과물을 가져와서 매우 편해.
4,나는 아직 결혼할 생각이 없는데 주위에서 계속 혼기가 찼으니 결혼하고 아기를 낳으라고 해. 만나는 사람마다 그렇게 이야기를 하니 너무 싫어.
0,나이가 들어도 건강하게 살다가 죽기를 원했는데 이젠 정말 그럴 수 있을 것 같아.
5,이번 주말에 마누라랑 등산하기로 했는데 갑자기 피곤하다고 혼자 가라고 해서 실망했어.
4,내 여자친구가 다른 남자를 만난다는 사실을 알게 되어 슬퍼.
2,같은 과 선배가 음란물 사이트 운영자였던 거 있지. 정말 구역질 나!
3,아들 딸 모두 결혼을 시키고 나니 마음은 한결 가벼워졌지만 노후에 대한 현실은 불안해졌어.
5,나 때문에 부모님이 이사를 자주 다니셨어. 죄송스러워서 너무 슬퍼.
0,전세금을 돌려받아서 다행이야.
1,사업도 망하고 병에도 걸린 나의 현실이 너무 고통스러워.
2,우리 아내는 매달마다 수입 지출을 너무 꼼꼼하게 정리해서 너무 피곤해.
2,당뇨 약 제조한 사람 때문에 짜증 나 죽겠네. 아니 사람 목숨이 달린 일인데.
2,요즘은 아들보다는 딸인데 말이야 아들 하나 낳은 게 뭐가 유세라고 자꾸 아들 하나 있어야 든든하다며 아들 낳으라고 하는 건지 모르겠어.
3,난 이제 친구 사귀기가 무서워.
3,학교에서 폭력을 당한 건 나인데 나보고 전학을 가라고 해서 너무 당혹스러워.
0,처음으로 큰 프로젝트를 맡아서 긴장했었는데 다행히 선배님이 도와주셨어.
3,일만 하다 보니까 사람들과 친해지는 게 힘들어.
3,여기저기 아픈 데가 많은데 남편이 자꾸 몰라주니 짜증이 나네.
3,예전과 달리 폐지를 수집해도 먹고 살기가 너무 빠듯해.
1,요즘 많이 외로운 거 같아.
1,참 속상해. 일하면서 자꾸 주위 눈치를 보게 되네.
4,의사가 내 병을 오진한 거 같아.
0,연구직에서 일하는 내 직장생활이 참 만족스러워.
0,전립선암이 완치가 됐대!
0,기쁜 일이 있어. 이번에 아들이 서울대를 가서 서울로 이사 갈 계획이야.
2,밤새워서 숙제를 다 끝내놨는데 가방을 뒤져보니 숙제를 두고 와서 슬퍼.
2,나는 미대를 가고 싶은데 선생님이 돈도 못 버는 직업이라고 자꾸 무시해서 열 받아.
2,음식을 시켰는데 배달원이 연락도 없이 음식을 문 앞에 던져놓고 그냥 가버렸어.
0,주말에 가족들과 함께 영화를 봤는데 재밌는 시간이었어.
2,면접에 떨어질 거 같아서 너무 짜증 나.
2,아내가 회사에서 잘렸어.
2,친구가 나한테 성적이 낮다고 하니까 자존심 상했어. 기분이 되게 좋지 않아.
0,철민이랑 건강검진을 받으러 갔어.
2,이제 와서 따돌림을 사과하는 친구들에게 화가 나서 투덜거렸어.
1,나는 나이 들어서도 계속 남편에게 재정을 의지해야 하는 게 한심해.
3,부모님이 내가 학교 폭력 피해자인 걸 아셔도 마음 아파하지 않았으면 좋겠어.
2,학교랑 집이랑 거리가 너무 멀어서 친구보다 공부할 시간이 부족해서 좀 속상해.
4,부장님은 어떻게 같은 팀원인데도 내 동기만 예뻐할 수 있어? 너무 불공평해.
5,결국 학교폭력 때문에 학교를 그만두고 말았어. 이겨낼 수 있을 줄 알았는데 너무 슬퍼.
1,내 딸은 내일모레 나이가 서른인데도 내가 방 청소를 해줘야만 해. 방 청소를 전혀 안 하거든
0,이번에 내가 로또에 당첨됐어.
2,어떤 애가 나랑 친구들 사이를 갈라놓았는데 심적으로 너무 힘들어.
1,둘이 있을 땐 괜히 트집 잡던 상사가 사장 앞에선 친한 척을 해.
4,동료라고 믿었던 사람들이 나에게 어떻게 그럴 수 있지? 상처받았어.
4,오늘 친구가 나랑 똑같은 치마를 입고 온 거 있지? 얼마나 기분 나빴는지 정말!
3,직장을 옮겼는데 나이 때문에 사람들의 시선이 두려워.
2,구역질 나는 장면을 목격해버렸어. 상사에게 선물 공세를 하며 승진을 부탁하는 동기가 있네.
5,오늘 회사 대리님한테 조롱 당해서 너무 슬펐어.
0,결혼해서 너무 좋아.
3,캠퍼스 커플이었다가 헤어진 남자친구와 한 학기 동안 같은 수업을 듣게 됐어.
1,동생보다 공부를 못해.
2,아들처럼 챙겨주는 게 고마워서 그 총각에게 재산을 맡겼는데 내 재산을 가지고 잠적해버렸어.
2,돈 생각에 구역질 나.
1,은퇴 후 경제활동을 안 하니 여러 가지로 너무 답답해.
2,나를 부하처럼 부려 먹는 언니와 싸우고 싶어.
2,중소기업에 다니는 남자 친구를 부모님이 이를 못마땅해하셔서 교제를 반대하는데 너무 어이가 없어.
4,친구가 아프다는데 내 형편이 안 좋아서 도와줄 수가 없다는 게 마음이 아프네.
1,친구가 물건을 훔치는 걸 봤는데 어찌해야 할지 고민이야.
4,선생님께서는 내 잘못 때문에 내가 따돌림받는다고 오해하셔. 정말 억울하고 서러워.
1,가난해 보이기 싫어서 값비싼 아들의 차를 타고 병원에 갔어.
0,나는 내 주위 사람들 중에 내가 제일 노래를 잘한다고 생각해.
3,죽음이 다가오니 걱정이 많아져.
4,아들은 아빠 편이라더니 너무 서운해.
1,친구가 폭행을 당했는데 제보하려니 무서운 마음이 들어.
1,내가 좋아하는 사람이 있는데 그 사람을 좋아하는 내가 잘못된 거라고 그래서 속상해.
4,동호회 사람들과 트러블이 있던 이후로는 혼자 운동하는 게 편하지만 가끔 외로울 때가 있어.
1,아픈 아내가 예전에 근사한 식당에 가자고 했던 말이 떠올라 당황스럽고 미안해.
3,성 정체성이 혼란스럽다는 친구의 말에 할 말이 없어서 혼란하군.
4,빚이 많아도 너무 많아서 너무 괴로워.
4,내 친구는 얼마 전에 치매에 걸려서 내 도움 없이는 아무것도 할 수 없어.
0,운동이 효과를 보나봐.
1,아빠가 아이가 있는데도 담배를 피우고 그 손으로 아이를 만지는 걸 보니 너무 당황스러워.
2,주번은 여러 명인데 왜 친구들은 일을 안 하는 것 같지? 나만 독박 쓰는 것 같은데?
1,우리 아내는 나보다는 돈이 좋은가 봐. 내가 이직해서 연봉이 줄었다고 매일 잔소리하는데 너무 싫어.
3,아들을 특수부대에 보냈는데 부상을 당할까 봐 걱정돼.
1,친구의 남자친구를 좋아해서 결국 뺏어 버렸어.
4,젊었을 때 우울증으로 자해를 했던 적이 있는데 아직도 그 흉터를 볼 때마다 괴로워.
4,오랜만에 멀리 대학 생활을 하는 아들에게 전화했는데 바쁘다며 바로 끊어버려서 서운하네.
5,진료 받으러 왔다가 진상 환자 때문에 우는 간호사를 봤는데 우리 손녀가 생각나서 너무 짠해.
0,친척 동생이 이번에 출산을 했는데 대놓고 선물을 요구하니 기분이 좀 이상해.
0,몸이 안 좋아 병원에 입원했는데 병원 사람들이 모두들 착하고 좋은 분위기인 거 같아서 편안해.
0,오늘 집에 데려온 친구가 있는데 엄마가 만족해하는 눈치였어.
3,며느리가 건강이 안 좋다는 사실을 알게 되어서 당혹스러워.
1,이웃들이 나 때문에 피해를 입었다며 손해배상금을 요구했어.
4,며느리의 고집으로 요양원으로 보내졌어. 내 생각을 고려해주지 않아 상처받았어.
3,학원 가려면 아빠에게 이십 만 원 달라고 해야 하는데 미안하네.
4,내가 가족들을 위해 뼈 빠지게 일하느라 허리도 못 펴고 사는데 애들은 알아주지도 않는 것 같아 힘들어 .
4,요즘 자식들이 내 연락을 안 받아. 일부러 피하는 것 같아.
0,당뇨병 약값 때문에 취직하고 싶었는데 믿을 만한 사장님 덕분에 취업했어.
2,오늘 마흔 넘은 배우자가 노여워했어.
2,친구들과 학급문고를 열심히 만들었는데 선생님께서 다시 만들라고 해서 속상해.
5,밤새워가며 숙제했는데 결국 집에 놓고 가서 아무 점수도 못 받았어.
2,딸이 오늘 내 서류를 이면지인 줄 알고 썼어! 너무 화나! 그래서 딸이랑 싸웠어!
2,옆집 사람이 추천해서 가입한 보험이 매달 보험료가 인상되는 상품이었어. 사기당한 기분이야.
1,다리가 아프게 절뚝거리니 다른 사람 시선이 신경 쓰여.
